lunch|n. 午餐|The dishes for lunch were really rich and tasty.|午餐的菜肴真是丰盛可口。||【辨析】bunch  n.束，串，扎；launch v.发动，发起；【谐音】浪吃(lunch)"：午餐时放松享受美食。
revelation|n. 揭露（的惊人内幕）；新发现|The revelation of a major scandal led to the company's financial problems.|公司重大丑闻导致了财政问题。|in the light of 根据，按照，当作|【辨析】revolution n.（思想、工作方式等的）彻底变革；relativity n.（物理）相对论；relevant   adj.有关的，切题的；【谐音】让我来审(revelation)"：是我披露、揭露他的秘密。
discipline|n. 纪律；训练方法；自制力；学科；v. 训练，管教；惩罚|The school is famous for high standards of discipline .|这所学校因其对纪律要求高著称。|come to 涉及|【辨析】disciplinary adj.有关纪律的，惩戒性的；principle    n.（行为）准则，（道德）原则
foreseeable|adj. 可预料的|The net profit is likely to reach a new peak in the foreseeable future.|在可预见的未来，净利润可能达到一个新的高峰。|in the foreseeable future 在可预见的未来，不久将来|【辨析】foresee  v.预见，预知；foretell v.预言，预测；【谐音】佛(fore)see阿宝(seeable)"：佛能预见阿宝的未来，形容可预见的。
alarm|n. 闹钟；警报（器）；v. 使惊恐|What have you done?' Ellie cried in alarm .|“你都干了些什么？”埃利惊恐地喊道。|be alarmed at 惊恐于；give a alarm 发出警报|【辨析】alert    adj.警惕的，警觉的；alarming adj.令人担忧的，令人恐惧的；alter    v.改变，改动；calm     adj.镇静的，沉着的
awe|n. 敬畏；惊叹；v. 使敬畏，使惊奇|In awe of their kind but strict father, all children behaved well at the dinner table.|孩子们对他们既和蔼又严格的父亲充满敬畏，饭桌前表现的很乖。|with awe 怀着敬畏之心|【辨析】owe     v.欠（钱），负账；axe     n.斧，斧子；owl     n.鸮，猫头鹰；awesome adj.让人惊叹的，令人敬畏的；oar     n.橹，桨；【谐音】傲(awe)"：因为他人有傲气，所以大家都敬畏他。；【变形】现在分词：awing
pigeon|n. 鸽子|He often feeds the pigeons in the square on weekends.|他周末常常在广场喂鸽子。|stand sb up 放某人鸽子|【辨析】surgeon n.外科医生；【谐音】皮筋(pigeon)"：用皮筋做弹弓打鸽子。
networking|n. 建立人际关系网|He believes networking to be the only way of landing a job.|他认为，建立人际关系网是找到工作的唯一方式。|social network 人际网，社交圈；social networking 社交网络；networking skills 社交技巧；networking event 联谊活动|【辨析】network n.网络，网状系统
formation|n. 组成，形成（物）；队形|My parents had an important influence on the formation of my personality.|我父母对我性格的养成产生了很重要的影响。||【辨析】format      n.总体安排，计划，设计；formulation n.（政策、计划等的）制定，构想；formulate   v.制定，规划；formal      adj.庄重的，合乎礼仪的；formula     n.计划，方案；【谐音】佛没身(formation)"：佛像形成后，原来的材料就没有了。
polar|adj. 两极的；极地的；磁极的；截然相反的|Without the sea ice habitat, the polar bear cannot live in the long term.|失去浮冰栖息地，北极熊将无法长期生存下去。|polar bear 北极熊|【辨析】solar adj.太阳的，和太阳有关的；pole  n.杆，柱；【谐音】破了(polar)"：关系破裂，形成两极对立。
arrival|n. 到达（者），抵达|We apologize for the late arrival of the train.|我们为火车误点表示歉意。|penalty for 对~~~的处罚；on one's arrival 当某人到达时|【辨析】arrive v.到达，抵达；rival  n.竞争对手，敌手；【谐音】饿软我(arrival)"：到达目的地时我都饿软了。
sting|v. 蜇，叮；（使）感觉刺痛；n. 刺（伤）；伤害|I was stung on the arm by a wasp.|我的手臂被黄蜂蜇了一下。||【辨析】cling v.抓住，抱紧；fling v.扔，掷；【谐音】死叮(sting)"：它用刺死叮着我。；【变形】过去式：stung；过去分词：stung
tragic|adj. 悲惨的；悲剧的|The police later told Sam the tragic news of her death.|警方随后告诉了山姆她已离世的不幸消息。||【辨析】tactic    n.策略，手法；strategic adj.战略（性）的， 策略（上）的；target    n.目标，指标
chief|adj. 主要的；首席的；最高级别的；n. 最高领导人|Jack was promoted to the chief financial officer of the company.|杰克被提拔为公司的首席财务官。|chief justice 首席大法官|【辨析】thief  n.贼，小偷，偷窃犯；chef   n.厨师，主厨；grief  n.（尤指因某人去世引起的）悲伤，悲痛；brief  adj.短暂的；belief n.相信，信心；relief n.（因恐惧、忧虑或痛苦的消除而感到的）宽慰，轻松；【谐音】欺负(chief)"：首领总是欺负别人。
ripe|adj. （水果、庄稼）成熟的；时机成熟的|This land is ripe for development.|这片土地可以开发了。|ripe rope 成熟的粗绳 一下子记住两个单词；ripe old age 晚年,高龄|【辨析】rope  n.粗绳，绳索；pipe  n.管子，管道；rip   v.（使）撕裂，（使）划破；wipe  v.（用布、手等）擦干净，抹掉；ripen v.（使）成熟；reap  v.获得，收获；【变形】比较级：riper；最高级：ripest
refine|v. 精炼；使…更精妙|The process of refining oil is complicated.|炼油的工序很复杂。||【辨析】define     v.给……下定义，解释；refinery   n.提炼厂，精炼厂；refrain    v.克制，避免；refinement n.精炼，精制；confine    v.限制，局限；reform     v.改革，革新；recede     v.逐渐远离，渐渐退去；rectify    v.<正式>纠正，矫正；【谐音】热饭(refine)"：改进饭的口味。表示精炼、改进。；【变形】现在分词：refining
increase|v. （使）增加；n. 增加|The population will continue to increase in the next decade.|未来十年人口将继续增长。|on the increase 正在增加，不断增长；be on the increase 不断上升；increase by 增加|【辨析】decrease     v.（使）减少，（使）降低；increasingly adv.越来越多地，不断增加地；【谐音】因亏死(increase)"：经济负担增加。；【变形】现在分词：increasing
altogether|adv. 总共；总之；完全（表示强调）|The train went slower and slower until it stopped altogether .|火车愈来愈慢，最后完全停了。|in all 总共,合计;总之|【辨析】together adv.在一起，共同；although conj.虽然，尽管；【谐音】凹凸盖的(altogether)"：总共就是这样，全部在内。
selfish|adj. 自私的|The teacher criticized him for his selfish behavior.|老师批评了他自私的行为。|be completely 完全的|【辨析】self     n.自己，自我；selfless adj.无私的，忘我的；【谐音】少费事(selfish)"：只考虑自己，自私的。
statue|n. 雕像，塑像，铸像|A magnificent marble statue stands at the center of the park.|一座雄伟的大理石雕像位于公园的中央。|The statue of liberty 自由女神像|【辨析】status  n.法律地位（或身份）；state   n.状态，状况；station n.（公共汽车、火车等的）车站；【谐音】死呆杵(statue)"：像雕塑一样一动不动。
facilitation|n. 促进；助长|Through facilitation of domestic trade, the country's economy began to boom.|通过促进国内贸易，该国的经济开始快速发展。|facility n 设施|【辨析】facilitate v.使更容易，使便利；facility   n.设施，设备；【谐音】福斯来太神(facilitation)"：所有事都变得简易化了。
assessment|n. 评估；估价|Your assessment is substantially correct.|你的估计基本正确。|self assessment 自我评价|【辨析】assess v.评价，评定；assist v.帮助，协助；asset  n.有利条件，有价值的人或物；【谐音】a 4s门店(assessment)"：在4s门店进行汽车评估。
outrageous|adj. 骇人的；令人惊讶的|They will be punished for their outrageous act of bribery.|他们会为自己骇人听闻的贿赂行为受到惩罚。||【辨析】outrage n.愤慨，愤怒
probable|adj. 很可能的；大概的|The probable cause of the forest fire was a cigarette end which someone carelessly threw away.|引发森林火灾的可能原因是，有人随意扔了一个烟头。|probable cause 合理依据|【辨析】portable    adj.便携式的，轻便的；probability n.可能性，或然性；properly    adv.正确地，适当地；property    n.所有物，财产；【谐音】破包包(probable)"：破包里很可能没钱。
monumental|adj. 重要的，意义深远的；巨大的|He was awarded Nobel Prize in physics for his monumental contribution to physics.|他对物理学做出了巨大的贡献，因此被授予了诺贝尔物理学奖。||【辨析】monument  n.纪念碑，纪念馆，纪念物；momentum  n.冲力，推力；momentary adj.片刻的，短暂的；momentous adj.重大的，重要的；【谐音】牦牛馒头(monumental)"：牦牛比馒头大得多，形容巨大的、不朽的。
instrumental|adj. 起重要作用的；用乐器演奏的|He was instrumental in bringing about an end to the conflict.|他在终止冲突的过程中起了重要作用。|be instrumental in 基本翻译 adj. 有助于(有利于)；instrumental music 器乐|【辨析】installment n.安装；instructor  n.教练，导师；instruct    v.指示，吩咐；【谐音】音色就馒头(instrumental)"：乐器的音色如此美妙，只吃馒头就够了。引申为起重要作用的。
complication|n. 使更复杂化的事物；并发症|The bad weather added a further complication to our journey.|恶劣的天气给我们的旅行增加了更多的困难。||【辨析】complicated adj.复杂的，难处理的；complicate  v.使复杂化，使难以理解；implication n.可能的影响（或作用、结果）；application n.正式申请，书面申请；completion  n.完成，结束；complexion  n.肤色，气色；compliment  n.赞扬，称赞；complexity  n.复杂性，错综复杂；complement  v.补充，补足；【谐音】看破了开心(complication)"：解决了复杂的问题，并发症也消失了。
crystal|n. 水晶；结晶；adj. 水晶的；晶体的；透明的|We bought them a crystal vase.|我们给他们买了一个水晶花瓶。|crystal clear 一清二楚；crystal necklace 水晶项链crystal lake清澈的湖；liquid crystal 液晶；a crystal lake 清澈见底的湖|【辨析】castle n.城堡，堡垒；【谐音】哭(cry)石头(stal)"：像眼泪一样的石头，就是水晶。
auditorium|n. 礼堂；观众席|Students watched a play at the new auditorium on Christmas.|圣诞节当天，学生们在一家新剧院观看了一场舞台剧。||【谐音】偶滴托儿们(auditorium)"：礼堂里坐着的观众都是我的托儿。；【变形】复数形式：auditoriums/auditoria
enquire|v. 询问，打听|She called the station to enquire about train times.|她给火车站打了个电话，询问列车时刻。||【辨析】inquire v.调查，查究；acquire v.获得，得到；empire  n.帝国；request n.要求，请求；【谐音】应快啊(enquire)"：调查应该快。；【变形】现在分词： enquiring
